model,pipeline,step,latency_mean,latency_std,tokens_mean,tokens_std
gemma2:2b,Naive (Acumulativo),1,8.496666666666666,1.1369403385109236,107.0,0.0
gemma2:2b,Naive (Acumulativo),2,6.52,0.4167733196834945,165.0,0.0
gemma2:2b,Naive (Acumulativo),3,6.986666666666667,0.49338963642676287,225.0,0.0
gemma2:2b,Naive (Acumulativo),4,6.29,1.6272983746074354,266.0,0.0
gemma2:2b,Optimizado (Pruning),1,8.903333333333334,2.512654638690589,71.0,0.0
gemma2:2b,Optimizado (Pruning),2,7.739999999999999,0.4712748667179271,106.66666666666667,1.5275252316519463
gemma2:2b,Optimizado (Pruning),3,7.1433333333333335,0.5346338310781812,113.33333333333333,1.5275252316519485
gemma2:2b,Optimizado (Pruning),4,6.206666666666667,1.7621104770511227,103.66666666666667,1.1547005383792526
